age,marital,education,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
59,married,secondary,2343,yes,no,unknown,5,may,1042,1,-1,0,unknown
56,married,secondary,45,no,no,unknown,5,may,1467,1,-1,0,unknown
41,married,secondary,1270,yes,no,unknown,5,may,1389,1,-1,0,unknown
55,married,secondary,2476,yes,no,unknown,5,may,579,1,-1,0,unknown
54,married,tertiary,184,no,no,unknown,5,may,673,2,-1,0,unknown
42,single,tertiary,0,yes,yes,unknown,5,may,562,2,-1,0,unknown
56,married,tertiary,830,yes,yes,unknown,6,may,1201,1,-1,0,unknown
60,divorced,secondary,545,yes,no,unknown,6,may,1030,1,-1,0,unknown
37,married,secondary,1,yes,no,unknown,6,may,608,1,-1,0,unknown
28,single,secondary,5090,yes,no,unknown,6,may,1297,3,-1,0,unknown
38,single,secondary,100,yes,no,unknown,7,may,786,1,-1,0,unknown
30,married,secondary,309,yes,no,unknown,7,may,1574,2,-1,0,unknown
29,married,tertiary,199,yes,yes,unknown,7,may,1689,4,-1,0,unknown
46,single,tertiary,460,yes,no,unknown,7,may,1102,2,-1,0,unknown
31,single,tertiary,703,yes,no,unknown,8,may,943,2,-1,0,unknown
35,divorced,tertiary,3837,yes,no,unknown,8,may,1084,1,-1,0,unknown
32,single,primary,611,yes,no,unknown,8,may,541,3,-1,0,unknown
49,married,secondary,-8,yes,no,unknown,8,may,1119,1,-1,0,unknown
41,married,secondary,55,yes,no,unknown,8,may,1120,2,-1,0,unknown
49,divorced,secondary,168,yes,yes,unknown,8,may,513,1,-1,0,unknown
