age,marital,education,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,predicted_deposit
59,married,secondary,2343,yes,no,unknown,5,may,1042,1,-1,0,unknown,1
36,single,tertiary,-78,yes,no,unknown,2,jun,1068,1,-1,0,unknown,1
42,divorced,primary,213,yes,no,cellular,7,jul,434,3,-1,0,unknown,1
32,single,tertiary,34646,no,no,telephone,13,aug,618,9,-1,0,unknown,1
36,divorced,tertiary,59,no,no,cellular,13,aug,526,2,-1,0,unknown,1
43,married,tertiary,1258,no,no,unknown,20,oct,312,1,-1,0,unknown,0
34,married,tertiary,899,yes,no,unknown,12,nov,114,1,170,3,failure,1
53,married,tertiary,2269,no,no,cellular,17,nov,1091,2,150,1,success,1
35,married,secondary,149,yes,no,cellular,29,apr,507,3,349,1,other,1
60,married,tertiary,3401,no,no,cellular,30,oct,294,1,270,1,failure,1
